First Name	Last Name	Email	Campus	ID
Alexandria	Hardin	Alexandria.Hardin@yahoo.com	Auckland, Wellington, Christchurch	191
Hassan	Dominguez	Hassan.Dominguez@yahoo.com	Auckland, Wellington, Christchurch	192
Raegan	Stuart	Raegan.Stuart@yahoo.com	Auckland, Wellington, Christchurch	193
Dion	Greene	Dion.Greene@yahoo.com	Auckland, Wellington, Christchurch	194
Selena	Castaneda	Selena.Castaneda@yahoo.com	Auckland, Wellington, Christchurch	195
Collin	Berry	Collin.Berry@yahoo.com	Auckland, Wellington, Christchurch	196
Annabelle	Chase	Annabelle.Chase@yahoo.com	Auckland, Wellington, Christchurch	197
Otis	Tapia	Otis.Tapia@yahoo.com	Auckland, Wellington, Christchurch	198
Michaela	Tyler	Michaela.Tyler@yahoo.com	Auckland, Wellington, Christchurch	199
Emmitt	Alexander	Emmitt.Alexander@yahoo.com	Auckland, Wellington, Christchurch	200
Lyla	Thornton	Lyla.Thornton@yahoo.com	Auckland, Wellington, Christchurch	201
Malik	Trujillo	Malik.Trujillo@yahoo.com	Auckland, Wellington, Christchurch	202
Danielle	Rosales	Danielle.Rosales@yahoo.com	Auckland, Wellington, Christchurch	203
Wilder	McCarty	Wilder.McCarty@yahoo.com	Auckland, Wellington, Christchurch	204
Halo	Hinton	Halo.Hinton@yahoo.com	Auckland, Wellington, Christchurch	205
Frankie	Bowman	Frankie.Bowman@yahoo.com	Auckland, Wellington, Christchurch	206
Fiona	Brennan	Fiona.Brennan@yahoo.com	Auckland, Wellington, Christchurch	207
Curtis	Heath	Curtis.Heath@yahoo.com	Auckland, Wellington, Christchurch	208
Amani	York	Amani.York@yahoo.com	Auckland, Wellington, Christchurch	209
Leandro	Rogers	Leandro.Rogers@yahoo.com	Auckland, Wellington, Christchurch	210
Madelyn	Cardenas	Madelyn.Cardenas@yahoo.com	Auckland, Wellington, Christchurch	211
Johnathan	Daugherty	Johnathan.Daugherty@yahoo.com	Auckland, Wellington, Christchurch	212
Magdalena	Ingram	Magdalena.Ingram@yahoo.com	Auckland, Wellington, Christchurch	213
Tripp	Curry	Tripp.Curry@yahoo.com	Auckland, Wellington, Christchurch	214
Alison	Moore	Alison.Moore@yahoo.com	Auckland, Wellington, Christchurch	215
Levi	Roberson	Levi.Roberson@yahoo.com	Auckland, Wellington, Christchurch	216
Sasha	Arias	Sasha.Arias@yahoo.com	Auckland, Wellington, Christchurch	217
Alec	Giles	Alec.Giles@yahoo.com	Auckland, Wellington, Christchurch	218
Bailee	Conrad	Bailee.Conrad@yahoo.com	Auckland, Wellington, Christchurch	219
Dilan	Wilkerson	Dilan.Wilkerson@yahoo.com	Auckland, Wellington, Christchurch	220
Janiyah	Small	Janiyah.Small@yahoo.com	Auckland, Wellington, Christchurch	221
Rudy	Todd	Rudy.Todd@yahoo.com	Auckland, Wellington, Christchurch	222
Zariah	Haley	Zariah.Haley@yahoo.com	Auckland, Wellington, Christchurch	223
Leif	Le	Leif.Le@yahoo.com	Auckland, Wellington, Christchurch	224
Myla	Ponce	Myla.Ponce@yahoo.com	Auckland, Wellington, Christchurch	225
Langston	Vega	Langston.Vega@yahoo.com	Auckland, Wellington, Christchurch	226
Dakota	Thompson	Dakota.Thompson@yahoo.com	Auckland, Wellington, Christchurch	227
Theodore	Fernandez	Theodore.Fernandez@yahoo.com	Auckland, Wellington, Christchurch	228
Amara	Fuentes	Amara.Fuentes@yahoo.com	Auckland, Wellington, Christchurch	229
Bowen	Villa	Bowen.Villa@yahoo.com	Auckland, Wellington, Christchurch	230
Johanna	Short	Johanna.Short@yahoo.com	Auckland, Wellington, Christchurch	231
Hezekiah	Terrell	Hezekiah.Terrell@yahoo.com	Auckland, Wellington, Christchurch	232
Paityn	Soto	Paityn.Soto@yahoo.com	Auckland, Wellington, Christchurch	233
Barrett	Andrade	Barrett.Andrade@yahoo.com	Auckland, Wellington, Christchurch	234
Emmy	Roy	Emmy.Roy@yahoo.com	Auckland, Wellington, Christchurch	235
Marcelo	Eaton	Marcelo.Eaton@yahoo.com	Auckland, Wellington, Christchurch	236
Miley	McConnell	Miley.McConnell@yahoo.com	Auckland, Wellington, Christchurch	237
London	Randolph	London.Randolph@yahoo.com	Auckland, Wellington, Christchurch	238
Kailey	Walls	Kailey.Walls@yahoo.com	Auckland, Wellington, Christchurch	239
Larry	Nunez	Larry.Nunez@yahoo.com	Auckland, Wellington, Christchurch	240
Mya	Trejo	Mya.Trejo@yahoo.com	Auckland, Wellington, Christchurch	241
Wesson	Schmitt	Wesson.Schmitt@yahoo.com	Auckland, Wellington, Christchurch	242
Queen	O’brien	Queen.O’brien@yahoo.com	Auckland, Wellington, Christchurch	243
Riley	McConnell	Riley.McConnell@yahoo.com	Auckland, Wellington, Christchurch	244
Denise	McKenzie	Denise.McKenzie@yahoo.com	Auckland, Wellington, Christchurch	245
Scott	Reyna	Scott.Reyna@yahoo.com	Auckland, Wellington, Christchurch	246
Luella	Orr	Luella.Orr@yahoo.com	Auckland, Wellington, Christchurch	247
Benicio	Vincent	Benicio.Vincent@yahoo.com	Auckland, Wellington, Christchurch	248
Allyson	Decker	Allyson.Decker@yahoo.com	Auckland, Wellington, Christchurch	249
Taylor	Vaughn	Taylor.Vaughn@yahoo.com	Auckland, Wellington, Christchurch	250
Reign	Davenport	Reign.Davenport@yahoo.com	Auckland, Wellington, Christchurch	251
Dariel	Beck	Dariel.Beck@yahoo.com	Auckland, Wellington, Christchurch	252
Gia	Hansen	Gia.Hansen@yahoo.com	Auckland, Wellington, Christchurch	253
Charlie	Arias	Charlie.Arias@yahoo.com	Auckland, Wellington, Christchurch	254
Aleah	Proctor	Aleah.Proctor@yahoo.com	Auckland, Wellington, Christchurch	255
Vance	James	Vance.James@yahoo.com	Auckland, Wellington, Christchurch	256
Quinn	Vu	Quinn.Vu@yahoo.com	Auckland, Wellington, Christchurch	257
Kamdyn	Brooks	Kamdyn.Brooks@yahoo.com	Auckland, Wellington, Christchurch	258
Autumn	Richards	Autumn.Richards@yahoo.com	Auckland, Wellington, Christchurch	259
Holden	Larson	Holden.Larson@yahoo.com	Auckland, Wellington, Christchurch	260
Alayna	Peralta	Alayna.Peralta@yahoo.com	Auckland, Wellington, Christchurch	261
Dangelo	Mosley	Dangelo.Mosley@yahoo.com	Auckland, Wellington, Christchurch	262
Zaniyah	Bruce	Zaniyah.Bruce@yahoo.com	Auckland, Wellington, Christchurch	263
Uriah	Ortiz	Uriah.Ortiz@yahoo.com	Auckland, Wellington, Christchurch	264
Anna	Villalobos	Anna.Villalobos@yahoo.com	Auckland, Wellington, Christchurch	265
Reuben	Sexton	Reuben.Sexton@yahoo.com	Auckland, Wellington, Christchurch	266
Ellen	Fuller	Ellen.Fuller@yahoo.com	Auckland, Wellington, Christchurch	267
Andre	Hensley	Andre.Hensley@yahoo.com	Auckland, Wellington, Christchurch	268
Malaya	French	Malaya.French@yahoo.com	Auckland, Wellington, Christchurch	269
Corey	Thornton	Corey.Thornton@yahoo.com	Auckland, Wellington, Christchurch	270
Haisley	Rhodes	Haisley.Rhodes@yahoo.com	Auckland, Wellington, Christchurch	271
Titus	McLaughlin	Titus.McLaughlin@yahoo.com	Auckland, Wellington, Christchurch	272
Stephanie	Leal	Stephanie.Leal@yahoo.com	Auckland, Wellington, Christchurch	273
Cedric	Everett	Cedric.Everett@yahoo.com	Auckland, Wellington, Christchurch	274
Noah	Wilson	Noah.Wilson@yahoo.com	Auckland, Wellington, Christchurch	275
Daniel	Nelson	Daniel.Nelson@yahoo.com	Auckland, Wellington, Christchurch	276
Everly	McFarland	Everly.McFarland@yahoo.com	Auckland, Wellington, Christchurch	277
Dane	Pace	Dane.Pace@yahoo.com	Auckland, Wellington, Christchurch	278
Giana	Gonzalez	Giana.Gonzalez@yahoo.com	Auckland, Wellington, Christchurch	279
Ethan	Jarvis	Ethan.Jarvis@yahoo.com	Auckland, Wellington, Christchurch	280
Elisabeth	Charles	Elisabeth.Charles@yahoo.com	Auckland, Wellington, Christchurch	281
Conrad	Rush	Conrad.Rush@yahoo.com	Auckland, Wellington, Christchurch	282
Maleah	Melton	Maleah.Melton@yahoo.com	Auckland, Wellington, Christchurch	283
Lennon	Jenkins	Lennon.Jenkins@yahoo.com	Auckland, Wellington, Christchurch	284
Rylee	Alvarado	Rylee.Alvarado@yahoo.com	Auckland, Wellington, Christchurch	285
Andres	Ashley	Andres.Ashley@yahoo.com	Auckland, Wellington, Christchurch	286
Khalani	Gallegos	Khalani.Gallegos@yahoo.com	Auckland, Wellington, Christchurch	287
Jonas	Webb	Jonas.Webb@yahoo.com	Auckland, Wellington, Christchurch	288
Ariella	Madden	Ariella.Madden@yahoo.com	Auckland, Wellington, Christchurch	289
Everest	Hardin	Everest.Hardin@yahoo.com	Auckland, Wellington, Christchurch	290
Vada	Decker	Vada.Decker@yahoo.com	Auckland, Wellington, Christchurch	291
Taylor	Bender	Taylor.Bender@yahoo.com	Auckland, Wellington, Christchurch	292
Lilyana	Lane	Lilyana.Lane@yahoo.com	Auckland, Wellington, Christchurch	293
Matias	Bailey	Matias.Bailey@yahoo.com	Auckland, Wellington, Christchurch	294
Kennedy	Vasquez	Kennedy.Vasquez@yahoo.com	Auckland, Wellington, Christchurch	295
Rowan	Garrett	Rowan.Garrett@yahoo.com	Auckland, Wellington, Christchurch	296
Tessa	McKay	Tessa.McKay@yahoo.com	Auckland, Wellington, Christchurch	297
Joey	Short	Joey.Short@yahoo.com	Auckland, Wellington, Christchurch	298
Cheyenne	Wolf	Cheyenne.Wolf@yahoo.com	Auckland, Wellington, Christchurch	299
Jase	Mosley	Jase.Mosley@yahoo.com	Auckland, Wellington, Christchurch	300
Zaniyah	Mays	Zaniyah.Mays@yahoo.com	Auckland, Wellington, Christchurch	301
Jadiel	Savage	Jadiel.Savage@yahoo.com	Auckland, Wellington, Christchurch	302
Louise	Horn	Louise.Horn@yahoo.com	Auckland, Wellington, Christchurch	303
Wilson	Parks	Wilson.Parks@yahoo.com	Auckland, Wellington, Christchurch	304
Ainsley	Petersen	Ainsley.Petersen@yahoo.com	Auckland, Wellington, Christchurch	305
Samson	Valdez	Samson.Valdez@yahoo.com	Auckland, Wellington, Christchurch	306
Diana	Booth	Diana.Booth@yahoo.com	Auckland, Wellington, Christchurch	307
Chaim	Nichols	Chaim.Nichols@yahoo.com	Auckland, Wellington, Christchurch	308
Aliyah	King	Aliyah.King@yahoo.com	Auckland, Wellington, Christchurch	309
Julian	Rowland	Julian.Rowland@yahoo.com	Auckland, Wellington, Christchurch	310
Harleigh	Mills	Harleigh.Mills@yahoo.com	Auckland, Wellington, Christchurch	311
Alex	Duke	Alex.Duke@yahoo.com	Auckland, Wellington, Christchurch	312
Melani	Tang	Melani.Tang@yahoo.com	Auckland, Wellington, Christchurch	313
Rogelio	Munoz	Rogelio.Munoz@yahoo.com	Auckland, Wellington, Christchurch	314
Kehlani	Terrell	Kehlani.Terrell@yahoo.com	Auckland, Wellington, Christchurch	315
Jaxen	Brock	Jaxen.Brock@yahoo.com	Auckland, Wellington, Christchurch	316
Jada	Erickson	Jada.Erickson@yahoo.com	Auckland, Wellington, Christchurch	317
Johnny	Winters	Johnny.Winters@yahoo.com	Auckland, Wellington, Christchurch	318
Kataleya	Bowers	Kataleya.Bowers@yahoo.com	Auckland, Wellington, Christchurch	319
Dorian	Solis	Dorian.Solis@yahoo.com	Auckland, Wellington, Christchurch	320
Miracle	Foster	Miracle.Foster@yahoo.com	Auckland, Wellington, Christchurch	321
Kayden	Bonilla	Kayden.Bonilla@yahoo.com	Auckland, Wellington, Christchurch	322
Romina	Stephenson	Romina.Stephenson@yahoo.com	Auckland, Wellington, Christchurch	323
Joe	Kramer	Joe.Kramer@yahoo.com	Auckland, Wellington, Christchurch	324
Hanna	Wang	Hanna.Wang@yahoo.com	Auckland, Wellington, Christchurch	325
Cohen	Higgins	Cohen.Higgins@yahoo.com	Auckland, Wellington, Christchurch	326
Leighton	Palmer	Leighton.Palmer@yahoo.com	Auckland, Wellington, Christchurch	327
Theo	Owen	Theo.Owen@yahoo.com	Auckland, Wellington, Christchurch	328
Mikayla	McDaniel	Mikayla.McDaniel@yahoo.com	Auckland, Wellington, Christchurch	329
Major	Cuevas	Major.Cuevas@yahoo.com	Auckland, Wellington, Christchurch	330
Adele	Boyle	Adele.Boyle@yahoo.com	Auckland, Wellington, Christchurch	331
Robin	Anderson	Robin.Anderson@yahoo.com	Auckland, Wellington, Christchurch	332
Ella	Potter	Ella.Potter@yahoo.com	Auckland, Wellington, Christchurch	333
Lucca	Wiley	Lucca.Wiley@yahoo.com	Auckland, Wellington, Christchurch	334
Lauryn	Ingram	Lauryn.Ingram@yahoo.com	Auckland, Wellington, Christchurch	335
Tripp	Leon	Tripp.Leon@yahoo.com	Auckland, Wellington, Christchurch	336
Amora	Nunez	Amora.Nunez@yahoo.com	Auckland, Wellington, Christchurch	337
Caden	Lloyd	Caden.Lloyd@yahoo.com	Auckland, Wellington, Christchurch	338
Emely	Taylor	Emely.Taylor@yahoo.com	Auckland, Wellington, Christchurch	339
Jackson	Perkins	Jackson.Perkins@yahoo.com	Auckland, Wellington, Christchurch	340
Sage	Mann	Sage.Mann@yahoo.com	Auckland, Wellington, Christchurch	341
Nehemiah	Hamilton	Nehemiah.Hamilton@yahoo.com	Auckland, Wellington, Christchurch	342
Mackenzie	Wu	Mackenzie.Wu@yahoo.com	Auckland, Wellington, Christchurch	343
Kyson	Pruitt	Kyson.Pruitt@yahoo.com	Auckland, Wellington, Christchurch	344
Brylee	Lamb	Brylee.Lamb@yahoo.com	Auckland, Wellington, Christchurch	345
Kaysen	Morgan	Kaysen.Morgan@yahoo.com	Auckland, Wellington, Christchurch	346
Delilah	Glass	Delilah.Glass@yahoo.com	Auckland, Wellington, Christchurch	347
Allan	Hahn	Allan.Hahn@yahoo.com	Auckland, Wellington, Christchurch	348
Fallon	Blankenship	Fallon.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	349
Ernesto	Ramsey	Ernesto.Ramsey@yahoo.com	Auckland, Wellington, Christchurch	350
Lyric	McDowell	Lyric.McDowell@yahoo.com	Auckland, Wellington, Christchurch	351
Lachlan	Wilcox	Lachlan.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	352
Ashlyn	Blankenship	Ashlyn.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	353
Ernesto	Pearson	Ernesto.Pearson@yahoo.com	Auckland, Wellington, Christchurch	354
Kiara	Lu	Kiara.Lu@yahoo.com	Auckland, Wellington, Christchurch	355
Duncan	Huber	Duncan.Huber@yahoo.com	Auckland, Wellington, Christchurch	356
Raquel	Hardin	Raquel.Hardin@yahoo.com	Auckland, Wellington, Christchurch	357
Hassan	Lam	Hassan.Lam@yahoo.com	Auckland, Wellington, Christchurch	358
Karina	Horton	Karina.Horton@yahoo.com	Auckland, Wellington, Christchurch	359
Garrett	Martinez	Garrett.Martinez@yahoo.com	Auckland, Wellington, Christchurch	360
Harper	Rubio	Harper.Rubio@yahoo.com	Auckland, Wellington, Christchurch	361
Titan	Zimmerman	Titan.Zimmerman@yahoo.com	Auckland, Wellington, Christchurch	362
Ariyah	Castaneda	Ariyah.Castaneda@yahoo.com	Auckland, Wellington, Christchurch	363
Collin	Conley	Collin.Conley@yahoo.com	Auckland, Wellington, Christchurch	364
Salem	Horton	Salem.Horton@yahoo.com	Auckland, Wellington, Christchurch	365
Garrett	Nichols	Garrett.Nichols@yahoo.com	Auckland, Wellington, Christchurch	366
Aliyah	Whitney	Aliyah.Whitney@yahoo.com	Auckland, Wellington, Christchurch	367
Jeffery	Cardenas	Jeffery.Cardenas@yahoo.com	Auckland, Wellington, Christchurch	368
Raven	Pierce	Raven.Pierce@yahoo.com	Auckland, Wellington, Christchurch	369
Nicolas	Hardy	Nicolas.Hardy@yahoo.com	Auckland, Wellington, Christchurch	370
Jessica	Wiggins	Jessica.Wiggins@yahoo.com	Auckland, Wellington, Christchurch	371
Azariah	Jacobson	Azariah.Jacobson@yahoo.com	Auckland, Wellington, Christchurch	372
Royal	Moses	Royal.Moses@yahoo.com	Auckland, Wellington, Christchurch	373
Niklaus	Joseph	Niklaus.Joseph@yahoo.com	Auckland, Wellington, Christchurch	374
Gracelynn	Morrow	Gracelynn.Morrow@yahoo.com	Auckland, Wellington, Christchurch	375
Kyree	Curtis	Kyree.Curtis@yahoo.com	Auckland, Wellington, Christchurch	376
Alexis	Pacheco	Alexis.Pacheco@yahoo.com	Auckland, Wellington, Christchurch	377
Erik	Hale	Erik.Hale@yahoo.com	Auckland, Wellington, Christchurch	378
Brinley	Hurley	Brinley.Hurley@yahoo.com	Auckland, Wellington, Christchurch	379
Van	Booker	Van.Booker@yahoo.com	Auckland, Wellington, Christchurch	380
Nataly	Barr	Nataly.Barr@yahoo.com	Auckland, Wellington, Christchurch	381
Harley	Klein	Harley.Klein@yahoo.com	Auckland, Wellington, Christchurch	382
Elianna	Hernandez	Elianna.Hernandez@yahoo.com	Auckland, Wellington, Christchurch	383
Mason	Gardner	Mason.Gardner@yahoo.com	Auckland, Wellington, Christchurch	384
Jordyn	Grimes	Jordyn.Grimes@yahoo.com	Auckland, Wellington, Christchurch	385
Harlan	Gillespie	Harlan.Gillespie@yahoo.com	Auckland, Wellington, Christchurch	386
Alianna	Hancock	Alianna.Hancock@yahoo.com	Auckland, Wellington, Christchurch	387
Rex	Mendoza	Rex.Mendoza@yahoo.com	Auckland, Wellington, Christchurch	388
Cora	Person	Cora.Person@yahoo.com	Auckland, Wellington, Christchurch	389
Moses	Patton	Moses.Patton@yahoo.com	Auckland, Wellington, Christchurch	390
Lorelei	Hill	Lorelei.Hill@yahoo.com	Auckland, Wellington, Christchurch	391
Isaac	Bruce	Isaac.Bruce@yahoo.com	Auckland, Wellington, Christchurch	392
Marilyn	Pennington	Marilyn.Pennington@yahoo.com	Auckland, Wellington, Christchurch	393
Bobby	Suarez	Bobby.Suarez@yahoo.com	Auckland, Wellington, Christchurch	394
Jimena	Adkins	Jimena.Adkins@yahoo.com	Auckland, Wellington, Christchurch	395
Kylo	Harrison	Kylo.Harrison@yahoo.com	Auckland, Wellington, Christchurch	396
Jasmine	Lugo	Jasmine.Lugo@yahoo.com	Auckland, Wellington, Christchurch	397
Santos	Flores	Santos.Flores@yahoo.com	Auckland, Wellington, Christchurch	398
Emilia	Marks	Emilia.Marks@yahoo.com	Auckland, Wellington, Christchurch	399
Amos	Rollins	Amos.Rollins@yahoo.com	Auckland, Wellington, Christchurch	400
Araceli	Webster	Araceli.Webster@yahoo.com	Auckland, Wellington, Christchurch	401
Shawn	Medrano	Shawn.Medrano@yahoo.com	Auckland, Wellington, Christchurch	402
Halle	Small	Halle.Small@yahoo.com	Auckland, Wellington, Christchurch	403
Rudy	Hopkins	Rudy.Hopkins@yahoo.com	Auckland, Wellington, Christchurch	404
Gabriela	Flynn	Gabriela.Flynn@yahoo.com	Auckland, Wellington, Christchurch	405
Kannon	Guerra	Kannon.Guerra@yahoo.com	Auckland, Wellington, Christchurch	406
Edith	Clayton	Edith.Clayton@yahoo.com	Auckland, Wellington, Christchurch	407
Boston	Holmes	Boston.Holmes@yahoo.com	Auckland, Wellington, Christchurch	408
Bailey	Ramirez	Bailey.Ramirez@yahoo.com	Auckland, Wellington, Christchurch	409
David	Schaefer	David.Schaefer@yahoo.com	Auckland, Wellington, Christchurch	410
Mavis	Mercado	Mavis.Mercado@yahoo.com	Auckland, Wellington, Christchurch	411
Abram	Huang	Abram.Huang@yahoo.com	Auckland, Wellington, Christchurch	412
Francesca	Chung	Francesca.Chung@yahoo.com	Auckland, Wellington, Christchurch	413
Ira	Grant	Ira.Grant@yahoo.com	Auckland, Wellington, Christchurch	414
