firstname,lastname,age,campus,qualification,email,id
Anne,Thompson,44,Auckland,,Anne.Thompson@lecturer.whitecliffe.ac.nz,AnnTho_WHITECLIFFE
Jesse,Mccoy,50,Christchurch,,Jesse.Mccoy@lecturer.whitecliffe.ac.nz,JesMcc_WHITECLIFFE
Jason,Jordan,43,Hamilton,,Jason.Jordan@lecturer.whitecliffe.ac.nz,JasJor_WHITECLIFFE
Jamie,Oconnor,50,Auckland,,Jamie.Oconnor@lecturer.whitecliffe.ac.nz,JamOco_WHITECLIFFE
Madison,Yang,25,Dunedin,,Madison.Yang@lecturer.whitecliffe.ac.nz,MadYan_WHITECLIFFE
Aaron,Campbell,30,Christchurch,,Aaron.Campbell@lecturer.whitecliffe.ac.nz,AarCam_WHITECLIFFE
Alexis,Carson,35,Wellington,,Alexis.Carson@lecturer.whitecliffe.ac.nz,AleCar_WHITECLIFFE
Joseph,Gonzalez,62,Christchurch,,Joseph.Gonzalez@lecturer.whitecliffe.ac.nz,JosGon_WHITECLIFFE
Tyler,Gordon,40,Auckland,,Tyler.Gordon@lecturer.whitecliffe.ac.nz,TylGor_WHITECLIFFE
Edwin,Green,30,Hamilton,,Edwin.Green@lecturer.whitecliffe.ac.nz,EdwGre_WHITECLIFFE
Jennifer,Avila,59,Auckland,,Jennifer.Avila@lecturer.whitecliffe.ac.nz,JenAvi_WHITECLIFFE
Traci,Wilson,44,Auckland,,Traci.Wilson@lecturer.whitecliffe.ac.nz,TraWil_WHITECLIFFE
Kenneth,Morgan,28,Auckland,,Kenneth.Morgan@lecturer.whitecliffe.ac.nz,KenMor_WHITECLIFFE
Kevin,Lewis,24,Wellington,,Kevin.Lewis@lecturer.whitecliffe.ac.nz,KevLew_WHITECLIFFE
Jamie,Keller,45,Wellington,,Jamie.Keller@lecturer.whitecliffe.ac.nz,JamKel_WHITECLIFFE
Bill,Schmidt,32,Hamilton,,Bill.Schmidt@lecturer.whitecliffe.ac.nz,BilSch_WHITECLIFFE
Veronica,Frye,25,Hamilton,,Veronica.Frye@lecturer.whitecliffe.ac.nz,VerFry_WHITECLIFFE
Alexis,Palmer,23,Christchurch,,Alexis.Palmer@lecturer.whitecliffe.ac.nz,AlePal_WHITECLIFFE
Michael,Morgan,23,Wellington,,Michael.Morgan@lecturer.whitecliffe.ac.nz,MicMor_WHITECLIFFE
Aaron,Lindsey,39,Auckland,,Aaron.Lindsey@lecturer.whitecliffe.ac.nz,AarLin_WHITECLIFFE
Karl,Turner,58,Dunedin,,Karl.Turner@lecturer.whitecliffe.ac.nz,KarTur_WHITECLIFFE
Phillip,Johnson,42,Dunedin,,Phillip.Johnson@lecturer.whitecliffe.ac.nz,PhiJoh_WHITECLIFFE
Sarah,Mckinney,20,Wellington,,Sarah.Mckinney@lecturer.whitecliffe.ac.nz,SarMck_WHITECLIFFE
Angela,Steele,27,Christchurch,,Angela.Steele@lecturer.whitecliffe.ac.nz,AngSte_WHITECLIFFE
Lisa,Smith,40,Auckland,,Lisa.Smith@lecturer.whitecliffe.ac.nz,LisSmi_WHITECLIFFE
James,Smith,49,Dunedin,,James.Smith@lecturer.whitecliffe.ac.nz,JamSmi_WHITECLIFFE
William,Martinez,27,Wellington,,William.Martinez@lecturer.whitecliffe.ac.nz,WilMar_WHITECLIFFE
Jeffrey,Benton,26,Auckland,,Jeffrey.Benton@lecturer.whitecliffe.ac.nz,JefBen_WHITECLIFFE
Samantha,Cooper,63,Auckland,,Samantha.Cooper@lecturer.whitecliffe.ac.nz,SamCoo_WHITECLIFFE
Andrew,Ortega,44,Auckland,,Andrew.Ortega@lecturer.whitecliffe.ac.nz,AndOrt_WHITECLIFFE
Ronald,White,43,Wellington,,Ronald.White@lecturer.whitecliffe.ac.nz,RonWhi_WHITECLIFFE
Michael,Hoffman,59,Auckland,,Michael.Hoffman@lecturer.whitecliffe.ac.nz,MicHof_WHITECLIFFE
Laura,Sullivan,42,Hamilton,,Laura.Sullivan@lecturer.whitecliffe.ac.nz,LauSul_WHITECLIFFE
Brianna,Bowman,21,Wellington,,Brianna.Bowman@lecturer.whitecliffe.ac.nz,BriBow_WHITECLIFFE
Ashley,Aguirre,23,Auckland,,Ashley.Aguirre@lecturer.whitecliffe.ac.nz,AshAgu_WHITECLIFFE
Cynthia,Kramer,54,Dunedin,,Cynthia.Kramer@lecturer.whitecliffe.ac.nz,CynKra_WHITECLIFFE
Harold,Davis,24,Auckland,,Harold.Davis@lecturer.whitecliffe.ac.nz,HarDav_WHITECLIFFE
Sarah,Thomas,23,Wellington,,Sarah.Thomas@lecturer.whitecliffe.ac.nz,SarTho_WHITECLIFFE
Cynthia,Ramirez,30,Hamilton,,Cynthia.Ramirez@lecturer.whitecliffe.ac.nz,CynRam_WHITECLIFFE
Natasha,Pearson,43,Auckland,,Natasha.Pearson@lecturer.whitecliffe.ac.nz,NatPea_WHITECLIFFE
Crystal,Dickson,21,Wellington,,Crystal.Dickson@lecturer.whitecliffe.ac.nz,CryDic_WHITECLIFFE
David,Smith,47,Dunedin,,David.Smith@lecturer.whitecliffe.ac.nz,DavSmi_WHITECLIFFE
Steven,Sosa,34,Auckland,,Steven.Sosa@lecturer.whitecliffe.ac.nz,SteSos_WHITECLIFFE
Angela,Mitchell,29,Wellington,,Angela.Mitchell@lecturer.whitecliffe.ac.nz,AngMit_WHITECLIFFE
Rick,Pierce,20,Hamilton,,Rick.Pierce@lecturer.whitecliffe.ac.nz,RicPie_WHITECLIFFE
Lisa,Haas,33,Wellington,,Lisa.Haas@lecturer.whitecliffe.ac.nz,LisHaa_WHITECLIFFE
Thomas,Walsh,36,Dunedin,,Thomas.Walsh@lecturer.whitecliffe.ac.nz,ThoWal_WHITECLIFFE
Michelle,Lewis,43,Auckland,,Michelle.Lewis@lecturer.whitecliffe.ac.nz,MicLew_WHITECLIFFE
Rachel,King,49,Dunedin,,Rachel.King@lecturer.whitecliffe.ac.nz,RacKin_WHITECLIFFE
Jesus,Nelson,64,Hamilton,,Jesus.Nelson@lecturer.whitecliffe.ac.nz,JesNel_WHITECLIFFE
Melvin,Clayton,24,Auckland,,Melvin.Clayton@lecturer.whitecliffe.ac.nz,MelCla_WHITECLIFFE
Brian,Zavala,22,Wellington,,Brian.Zavala@lecturer.whitecliffe.ac.nz,BriZav_WHITECLIFFE
Thomas,Sanders,30,Hamilton,,Thomas.Sanders@lecturer.whitecliffe.ac.nz,ThoSan_WHITECLIFFE
Eric,Vazquez,48,Auckland,,Eric.Vazquez@lecturer.whitecliffe.ac.nz,EriVaz_WHITECLIFFE
Tammy,Paul,20,Christchurch,,Tammy.Paul@lecturer.whitecliffe.ac.nz,TamPau_WHITECLIFFE
Jason,Thomas,45,Dunedin,,Jason.Thomas@lecturer.whitecliffe.ac.nz,JasTho_WHITECLIFFE
Ann,Phelps,35,Christchurch,,Ann.Phelps@lecturer.whitecliffe.ac.nz,AnnPhe_WHITECLIFFE
Adam,Miller,22,Wellington,,Adam.Miller@lecturer.whitecliffe.ac.nz,AdaMil_WHITECLIFFE
Stephanie,Parrish,49,Christchurch,,Stephanie.Parrish@lecturer.whitecliffe.ac.nz,StePar_WHITECLIFFE
Cindy,Wagner,30,Wellington,,Cindy.Wagner@lecturer.whitecliffe.ac.nz,CinWag_WHITECLIFFE
Jeffrey,Bauer,20,Dunedin,,Jeffrey.Bauer@lecturer.whitecliffe.ac.nz,JefBau_WHITECLIFFE
Tony,Dean,57,Wellington,,Tony.Dean@lecturer.whitecliffe.ac.nz,TonDea_WHITECLIFFE
Nathaniel,Turner,43,Christchurch,,Nathaniel.Turner@lecturer.whitecliffe.ac.nz,NatTur_WHITECLIFFE
Sharon,Carter,50,Auckland,,Sharon.Carter@lecturer.whitecliffe.ac.nz,ShaCar_WHITECLIFFE
Danielle,Wade,41,Auckland,,Danielle.Wade@lecturer.whitecliffe.ac.nz,DanWad_WHITECLIFFE
Sandra,Brown,23,Christchurch,,Sandra.Brown@lecturer.whitecliffe.ac.nz,SanBro_WHITECLIFFE
Carmen,Davis,32,Auckland,,Carmen.Davis@lecturer.whitecliffe.ac.nz,CarDav_WHITECLIFFE
Heather,Russell,30,Christchurch,,Heather.Russell@lecturer.whitecliffe.ac.nz,HeaRus_WHITECLIFFE
Dawn,Aguilar,30,Christchurch,,Dawn.Aguilar@lecturer.whitecliffe.ac.nz,DawAgu_WHITECLIFFE
Tony,Ramsey,39,Dunedin,,Tony.Ramsey@lecturer.whitecliffe.ac.nz,TonRam_WHITECLIFFE
Amanda,Daugherty,33,Hamilton,,Amanda.Daugherty@lecturer.whitecliffe.ac.nz,AmaDau_WHITECLIFFE
Thomas,Torres,43,Auckland,,Thomas.Torres@lecturer.whitecliffe.ac.nz,ThoTor_WHITECLIFFE
Erin,Salazar,39,Christchurch,,Erin.Salazar@lecturer.whitecliffe.ac.nz,EriSal_WHITECLIFFE
Holly,Curry,47,Wellington,,Holly.Curry@lecturer.whitecliffe.ac.nz,HolCur_WHITECLIFFE
James,Black,21,Christchurch,,James.Black@lecturer.whitecliffe.ac.nz,JamBla_WHITECLIFFE
Brian,Hines,32,Hamilton,,Brian.Hines@lecturer.whitecliffe.ac.nz,BriHin_WHITECLIFFE
Adrian,Obrien,47,Wellington,,Adrian.Obrien@lecturer.whitecliffe.ac.nz,AdrObr_WHITECLIFFE
Joseph,Rodriguez,25,Dunedin,,Joseph.Rodriguez@lecturer.whitecliffe.ac.nz,JosRod_WHITECLIFFE
Desiree,Jensen,65,Auckland,,Desiree.Jensen@lecturer.whitecliffe.ac.nz,DesJen_WHITECLIFFE
Hannah,Barnett,26,Christchurch,,Hannah.Barnett@lecturer.whitecliffe.ac.nz,HanBar_WHITECLIFFE
Nancy,Valencia,39,Auckland,,Nancy.Valencia@lecturer.whitecliffe.ac.nz,NanVal_WHITECLIFFE
Derek,Patel,44,Hamilton,,Derek.Patel@lecturer.whitecliffe.ac.nz,DerPat_WHITECLIFFE
Kyle,Buchanan,20,Christchurch,,Kyle.Buchanan@lecturer.whitecliffe.ac.nz,KylBuc_WHITECLIFFE
Leslie,Watson,26,Christchurch,,Leslie.Watson@lecturer.whitecliffe.ac.nz,LesWat_WHITECLIFFE
Stephanie,White,47,Auckland,,Stephanie.White@lecturer.whitecliffe.ac.nz,SteWhi_WHITECLIFFE
Bridget,Shepard,31,Auckland,,Bridget.Shepard@lecturer.whitecliffe.ac.nz,BriShe_WHITECLIFFE
Tanya,Davila,43,Wellington,,Tanya.Davila@lecturer.whitecliffe.ac.nz,TanDav_WHITECLIFFE
Scott,Sparks,32,Hamilton,,Scott.Sparks@lecturer.whitecliffe.ac.nz,ScoSpa_WHITECLIFFE
Shelby,Fisher,50,Christchurch,,Shelby.Fisher@lecturer.whitecliffe.ac.nz,SheFis_WHITECLIFFE
Andrew,Nguyen,28,Auckland,,Andrew.Nguyen@lecturer.whitecliffe.ac.nz,AndNgu_WHITECLIFFE
Trevor,Orozco,46,Hamilton,,Trevor.Orozco@lecturer.whitecliffe.ac.nz,TreOro_WHITECLIFFE
John,Leonard,48,Christchurch,,John.Leonard@lecturer.whitecliffe.ac.nz,JohLeo_WHITECLIFFE
Heidi,Morris,37,Auckland,,Heidi.Morris@lecturer.whitecliffe.ac.nz,HeiMor_WHITECLIFFE
Jessica,Delgado,48,Hamilton,,Jessica.Delgado@lecturer.whitecliffe.ac.nz,JesDel_WHITECLIFFE
Robert,Barajas,36,Auckland,,Robert.Barajas@lecturer.whitecliffe.ac.nz,RobBar_WHITECLIFFE
Catherine,Kim,41,Hamilton,,Catherine.Kim@lecturer.whitecliffe.ac.nz,CatKim_WHITECLIFFE
Brittney,Le,30,Christchurch,,Brittney.Le@lecturer.whitecliffe.ac.nz,BriLe_WHITECLIFFE
David,Phelps,33,Wellington,,David.Phelps@lecturer.whitecliffe.ac.nz,DavPhe_WHITECLIFFE
Kenneth,Steele,47,Christchurch,,Kenneth.Steele@lecturer.whitecliffe.ac.nz,KenSte_WHITECLIFFE
Patricia,Freeman,20,Hamilton,,Patricia.Freeman@lecturer.whitecliffe.ac.nz,PatFre_WHITECLIFFE
Jennifer,Gallegos,32,Christchurch,,Jennifer.Gallegos@lecturer.whitecliffe.ac.nz,JenGal_WHITECLIFFE
Michael,Anderson,42,Wellington,,Michael.Anderson@lecturer.whitecliffe.ac.nz,MicAnd_WHITECLIFFE
David,House,31,Auckland,,David.House@lecturer.whitecliffe.ac.nz,DavHou_WHITECLIFFE
Kaylee,Bishop,35,Christchurch,,Kaylee.Bishop@lecturer.whitecliffe.ac.nz,KayBis_WHITECLIFFE
Jodi,Berger,28,Auckland,,Jodi.Berger@lecturer.whitecliffe.ac.nz,JodBer_WHITECLIFFE
Jennifer,Rogers,43,Dunedin,,Jennifer.Rogers@lecturer.whitecliffe.ac.nz,JenRog_WHITECLIFFE
Jonathan,Stafford,35,Christchurch,,Jonathan.Stafford@lecturer.whitecliffe.ac.nz,JonSta_WHITECLIFFE
Barbara,Parker,50,Hamilton,,Barbara.Parker@lecturer.whitecliffe.ac.nz,BarPar_WHITECLIFFE
Thomas,Gordon,40,Christchurch,,Thomas.Gordon@lecturer.whitecliffe.ac.nz,ThoGor_WHITECLIFFE
Austin,Jones,24,Dunedin,,Austin.Jones@lecturer.whitecliffe.ac.nz,AusJon_WHITECLIFFE
Rebecca,Knight,24,Hamilton,,Rebecca.Knight@lecturer.whitecliffe.ac.nz,RebKni_WHITECLIFFE
William,Cox,46,Hamilton,,William.Cox@lecturer.whitecliffe.ac.nz,WilCox_WHITECLIFFE
Darlene,Gonzalez,27,Wellington,,Darlene.Gonzalez@lecturer.whitecliffe.ac.nz,DarGon_WHITECLIFFE
Gina,Lindsey,34,Auckland,,Gina.Lindsey@lecturer.whitecliffe.ac.nz,GinLin_WHITECLIFFE
Christopher,Wood,37,Hamilton,,Christopher.Wood@lecturer.whitecliffe.ac.nz,ChrWoo_WHITECLIFFE
Jennifer,Lucero,50,Auckland,,Jennifer.Lucero@lecturer.whitecliffe.ac.nz,JenLuc_WHITECLIFFE
James,Jones,50,Dunedin,,James.Jones@lecturer.whitecliffe.ac.nz,JamJon_WHITECLIFFE
Nathaniel,Cannon,20,Hamilton,,Nathaniel.Cannon@lecturer.whitecliffe.ac.nz,NatCan_WHITECLIFFE
Taylor,Tucker,34,Auckland,,Taylor.Tucker@lecturer.whitecliffe.ac.nz,TayTuc_WHITECLIFFE
Mike,Mccarthy,35,Auckland,,Mike.Mccarthy@lecturer.whitecliffe.ac.nz,MikMcc_WHITECLIFFE
Jose,Lee,38,Wellington,,Jose.Lee@lecturer.whitecliffe.ac.nz,JosLee_WHITECLIFFE
Sonya,Briggs,41,Wellington,,Sonya.Briggs@lecturer.whitecliffe.ac.nz,SonBri_WHITECLIFFE
Paul,Stokes,46,Hamilton,,Paul.Stokes@lecturer.whitecliffe.ac.nz,PauSto_WHITECLIFFE
Jasmine,Carter,43,Hamilton,,Jasmine.Carter@lecturer.whitecliffe.ac.nz,JasCar_WHITECLIFFE
Amber,Drake,46,Hamilton,,Amber.Drake@lecturer.whitecliffe.ac.nz,AmbDra_WHITECLIFFE
Anthony,Young,49,Wellington,,Anthony.Young@lecturer.whitecliffe.ac.nz,AntYou_WHITECLIFFE
Crystal,Mora,39,Dunedin,,Crystal.Mora@lecturer.whitecliffe.ac.nz,CryMor_WHITECLIFFE
Cynthia,Wilson,24,Hamilton,,Cynthia.Wilson@lecturer.whitecliffe.ac.nz,CynWil_WHITECLIFFE
Kayla,Hill,49,Hamilton,,Kayla.Hill@lecturer.whitecliffe.ac.nz,KayHil_WHITECLIFFE
Ruth,Hammond,40,Auckland,,Ruth.Hammond@lecturer.whitecliffe.ac.nz,RutHam_WHITECLIFFE
Dominique,Mcmillan,47,Dunedin,,Dominique.Mcmillan@lecturer.whitecliffe.ac.nz,DomMcm_WHITECLIFFE
Thomas,Donovan,21,Auckland,,Thomas.Donovan@lecturer.whitecliffe.ac.nz,ThoDon_WHITECLIFFE
Donald,Armstrong,31,Christchurch,,Donald.Armstrong@lecturer.whitecliffe.ac.nz,DonArm_WHITECLIFFE
Brianna,Frank,49,Hamilton,,Brianna.Frank@lecturer.whitecliffe.ac.nz,BriFra_WHITECLIFFE
Joshua,Chavez,32,Christchurch,,Joshua.Chavez@lecturer.whitecliffe.ac.nz,JosCha_WHITECLIFFE
Anthony,Maynard,24,Auckland,,Anthony.Maynard@lecturer.whitecliffe.ac.nz,AntMay_WHITECLIFFE
Kimberly,Barrett,37,Dunedin,,Kimberly.Barrett@lecturer.whitecliffe.ac.nz,KimBar_WHITECLIFFE
Meredith,Smith,47,Wellington,,Meredith.Smith@lecturer.whitecliffe.ac.nz,MerSmi_WHITECLIFFE
Thomas,Ferrell,49,Auckland,,Thomas.Ferrell@lecturer.whitecliffe.ac.nz,ThoFer_WHITECLIFFE
Ralph,Thomas,51,Dunedin,,Ralph.Thomas@lecturer.whitecliffe.ac.nz,RalTho_WHITECLIFFE
Robert,Montgomery,20,Hamilton,,Robert.Montgomery@lecturer.whitecliffe.ac.nz,RobMon_WHITECLIFFE
Cynthia,Hinton,45,Christchurch,,Cynthia.Hinton@lecturer.whitecliffe.ac.nz,CynHin_WHITECLIFFE
James,Lucas,61,Hamilton,,James.Lucas@lecturer.whitecliffe.ac.nz,JamLuc_WHITECLIFFE
Paula,Johnson,38,Christchurch,,Paula.Johnson@lecturer.whitecliffe.ac.nz,PauJoh_WHITECLIFFE
Randy,Wilson,53,Auckland,,Randy.Wilson@lecturer.whitecliffe.ac.nz,RanWil_WHITECLIFFE
Scott,Caldwell,21,Wellington,,Scott.Caldwell@lecturer.whitecliffe.ac.nz,ScoCal_WHITECLIFFE
Mark,Kelly,45,Hamilton,,Mark.Kelly@lecturer.whitecliffe.ac.nz,MarKel_WHITECLIFFE
Anthony,Edwards,44,Christchurch,,Anthony.Edwards@lecturer.whitecliffe.ac.nz,AntEdw_WHITECLIFFE
Melissa,Marquez,24,Dunedin,,Melissa.Marquez@lecturer.whitecliffe.ac.nz,MelMar_WHITECLIFFE
Janet,Johnson,56,Christchurch,,Janet.Johnson@lecturer.whitecliffe.ac.nz,JanJoh_WHITECLIFFE
Christopher,Moore,47,Wellington,,Christopher.Moore@lecturer.whitecliffe.ac.nz,ChrMoo_WHITECLIFFE
Julia,Yang,34,Hamilton,,Julia.Yang@lecturer.whitecliffe.ac.nz,JulYan_WHITECLIFFE
Pamela,Spencer,45,Christchurch,,Pamela.Spencer@lecturer.whitecliffe.ac.nz,PamSpe_WHITECLIFFE
Michael,Soto,24,Christchurch,,Michael.Soto@lecturer.whitecliffe.ac.nz,MicSot_WHITECLIFFE
Nathaniel,Ford,40,Hamilton,,Nathaniel.Ford@lecturer.whitecliffe.ac.nz,NatFor_WHITECLIFFE
Bethany,Walton,50,Wellington,,Bethany.Walton@lecturer.whitecliffe.ac.nz,BetWal_WHITECLIFFE
David,Franklin,42,Hamilton,,David.Franklin@lecturer.whitecliffe.ac.nz,DavFra_WHITECLIFFE
Michael,Prince,30,Dunedin,,Michael.Prince@lecturer.whitecliffe.ac.nz,MicPri_WHITECLIFFE
Sarah,Mcgee,23,Christchurch,,Sarah.Mcgee@lecturer.whitecliffe.ac.nz,SarMcg_WHITECLIFFE
Christie,Gibson,32,Hamilton,,Christie.Gibson@lecturer.whitecliffe.ac.nz,ChrGib_WHITECLIFFE
Erin,Acosta,47,Auckland,,Erin.Acosta@lecturer.whitecliffe.ac.nz,EriAco_WHITECLIFFE
Steven,Sanchez,43,Wellington,,Steven.Sanchez@lecturer.whitecliffe.ac.nz,SteSan_WHITECLIFFE
Edward,Espinoza,39,Christchurch,,Edward.Espinoza@lecturer.whitecliffe.ac.nz,EdwEsp_WHITECLIFFE
Dawn,Williamson,50,Auckland,,Dawn.Williamson@lecturer.whitecliffe.ac.nz,DawWil_WHITECLIFFE
Cory,Cervantes,49,Auckland,,Cory.Cervantes@lecturer.whitecliffe.ac.nz,CorCer_WHITECLIFFE
Carol,Schultz,32,Auckland,,Carol.Schultz@lecturer.whitecliffe.ac.nz,CarSch_WHITECLIFFE
Brandon,Castro,20,Auckland,,Brandon.Castro@lecturer.whitecliffe.ac.nz,BraCas_WHITECLIFFE
Jerome,Hansen,48,Wellington,,Jerome.Hansen@lecturer.whitecliffe.ac.nz,JerHan_WHITECLIFFE
Stephanie,Thompson,44,Wellington,,Stephanie.Thompson@lecturer.whitecliffe.ac.nz,SteTho_WHITECLIFFE
Ryan,Joseph,22,Auckland,,Ryan.Joseph@lecturer.whitecliffe.ac.nz,RyaJos_WHITECLIFFE
Roger,Moore,26,Auckland,,Roger.Moore@lecturer.whitecliffe.ac.nz,RogMoo_WHITECLIFFE
William,Manning,56,Auckland,,William.Manning@lecturer.whitecliffe.ac.nz,WilMan_WHITECLIFFE
Kelly,Parks,30,Hamilton,,Kelly.Parks@lecturer.whitecliffe.ac.nz,KelPar_WHITECLIFFE
Joshua,Snyder,43,Hamilton,,Joshua.Snyder@lecturer.whitecliffe.ac.nz,JosSny_WHITECLIFFE
Lawrence,Gilmore,30,Christchurch,,Lawrence.Gilmore@lecturer.whitecliffe.ac.nz,LawGil_WHITECLIFFE
Elizabeth,Green,22,Auckland,,Elizabeth.Green@lecturer.whitecliffe.ac.nz,EliGre_WHITECLIFFE
Robert,Martinez,53,Dunedin,,Robert.Martinez@lecturer.whitecliffe.ac.nz,RobMar_WHITECLIFFE
Martha,Farrell,38,Wellington,,Martha.Farrell@lecturer.whitecliffe.ac.nz,MarFar_WHITECLIFFE
Lauren,Oconnell,26,Christchurch,,Lauren.Oconnell@lecturer.whitecliffe.ac.nz,LauOco_WHITECLIFFE
Ryan,Mccarty,24,Christchurch,,Ryan.Mccarty@lecturer.whitecliffe.ac.nz,RyaMcc_WHITECLIFFE
Michelle,Campbell,49,Wellington,,Michelle.Campbell@lecturer.whitecliffe.ac.nz,MicCam_WHITECLIFFE
Ariana,Jenkins,31,Auckland,,Ariana.Jenkins@lecturer.whitecliffe.ac.nz,AriJen_WHITECLIFFE
Jerry,Torres,30,Auckland,,Jerry.Torres@lecturer.whitecliffe.ac.nz,JerTor_WHITECLIFFE
Brenda,Mays,23,Auckland,,Brenda.Mays@lecturer.whitecliffe.ac.nz,BreMay_WHITECLIFFE
Daniel,Blair,43,Hamilton,,Daniel.Blair@lecturer.whitecliffe.ac.nz,DanBla_WHITECLIFFE
Monica,Sims,20,Auckland,,Monica.Sims@lecturer.whitecliffe.ac.nz,MonSim_WHITECLIFFE
Benjamin,Miller,35,Christchurch,,Benjamin.Miller@lecturer.whitecliffe.ac.nz,BenMil_WHITECLIFFE
Shane,Jones,46,Auckland,,Shane.Jones@lecturer.whitecliffe.ac.nz,ShaJon_WHITECLIFFE
Laura,Russell,53,Auckland,,Laura.Russell@lecturer.whitecliffe.ac.nz,LauRus_WHITECLIFFE
Philip,Lawson,35,Wellington,,Philip.Lawson@lecturer.whitecliffe.ac.nz,PhiLaw_WHITECLIFFE
Devin,Burton,42,Auckland,,Devin.Burton@lecturer.whitecliffe.ac.nz,DevBur_WHITECLIFFE
Jennifer,Lopez,62,Auckland,,Jennifer.Lopez@lecturer.whitecliffe.ac.nz,JenLop_WHITECLIFFE
Christopher,Wilcox,30,Hamilton,,Christopher.Wilcox@lecturer.whitecliffe.ac.nz,ChrWil_WHITECLIFFE
Shelley,Harris,51,Wellington,,Shelley.Harris@lecturer.whitecliffe.ac.nz,SheHar_WHITECLIFFE
Nancy,Jefferson,45,Wellington,,Nancy.Jefferson@lecturer.whitecliffe.ac.nz,NanJef_WHITECLIFFE
Melanie,Pham,63,Auckland,,Melanie.Pham@lecturer.whitecliffe.ac.nz,MelPha_WHITECLIFFE
Noah,Moore,22,Wellington,,Noah.Moore@lecturer.whitecliffe.ac.nz,NoaMoo_WHITECLIFFE
